CAS Number,Test organisms (species),Superclass,Class,Phylum,Duration.MeanValue,Value.MeanValue,SMILES,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRotBd,nbHBdAcc,ndHBdDon,ionization,nbRingimputed,nbHeteroRingimputed,TopoPolSurfAirimputed,MolarRefractimputed,CombDipolPolarizimputed,LogP_predimputed,LogVP_predimputed,LogWS_predimputed,LogKOA_predimputed,LogD55_predimputed,LogD74_predimputed,missing_indicator_binary
98-01-1,Daphnia magna,Gnathostomata,Amphibia,Chordata (chordates),1,1.574031268,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Chaetogammarus marinus,Gnathostomata,Amphibia,Chordata (chordates),1,1.658011397,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Lepomis macrochirus,Gnathostomata,Amphibia,Chordata (chordates),1,1.505149978,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Pimephales promelas,Gnathostomata,Amphibia,Chordata (chordates),1,1.681241237,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Rasbora heteromorpha,Gnathostomata,Amphibia,Chordata (chordates),1,1.491361694,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Chaetogammarus marinus,Gnathostomata,Amphibia,Chordata (chordates),2,1.431363764,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Lepomis macrochirus,Gnathostomata,Amphibia,Chordata (chordates),2,1.204119983,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Pimephales promelas,Gnathostomata,Amphibia,Chordata (chordates),2,1.568201724,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Rasbora heteromorpha,Gnathostomata,Amphibia,Chordata (chordates),2,1.361727836,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Daphnia magna,Gnathostomata,Amphibia,Chordata (chordates),3,1.113943352,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Chaetogammarus marinus,Gnathostomata,Amphibia,Chordata (chordates),3,1.322219295,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Pimephales promelas,Gnathostomata,Amphibia,Chordata (chordates),3,1.511883361,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Americamysis bahia,Gnathostomata,Amphibia,Chordata (chordates),4,1.083054483,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Chaetogammarus marinus,Gnathostomata,Amphibia,Chordata (chordates),4,1.255272505,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Gammarus pseudolimnaeus,Gnathostomata,Amphibia,Chordata (chordates),4,1.075181855,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
98-01-1,Cyprinodon variegatus,Gnathostomata,Amphibia,Chordata (chordates),4,1.146128036,O=CC1=CC=CO1,96.02112937,11,7,5,2,0,5,1,1,0,1,1,1,30.21,7.913,0.948,0.41,0.34,-0.1,3.53,0.41,0.38,0
