TAID,Pubchem CID,IUPAC Name,SMILES,Canonical SMILES,InChIKey,mouse_intraperitoneal_LD50,mammal (species unspecified)_intraperitoneal_LD50,guinea pig_intraperitoneal_LD50,rat_intraperitoneal_LD50,rabbit_intraperitoneal_LD50,mouse_intraperitoneal_LDLo,rat_intraperitoneal_LDLo,mouse_intravenous_LD50,guinea pig_intravenous_LD50,rat_intravenous_LD50,rabbit_intravenous_LD50,dog_intravenous_LD50,cat_intravenous_LD50,mouse_intravenous_LDLo,guinea pig_intravenous_LDLo,rat_intravenous_LDLo,rabbit_intravenous_LDLo,dog_intravenous_LDLo,cat_intravenous_LDLo,mouse_oral_LD50,mammal (species unspecified)_oral_LD50,guinea pig_oral_LD50,rat_oral_LD50,rabbit_oral_LD50,dog_oral_LD50,cat_oral_LD50,bird-wild_oral_LD50,quail_oral_LD50,duck_oral_LD50,chicken_oral_LD50,mouse_oral_LDLo,rat_oral_LDLo,rabbit_oral_LDLo,dog_oral_LDLo,cat_oral_LDLo,man_oral_TDLo,women_oral_TDLo,human_oral_TDLo,mouse_unreported_LD50,mammal (species unspecified)_unreported_LD50,rat_unreported_LD50,mouse_skin_LD50,guinea pig_skin_LD50,rat_skin_LD50,rabbit_skin_LD50,rabbit_skin_LDLo,mouse_subcutaneous_LD50,mammal (species unspecified)_subcutaneous_LD50,guinea pig_subcutaneous_LD50,rat_subcutaneous_LD50,rabbit_subcutaneous_LD50,mouse_subcutaneous_LDLo,guinea pig_subcutaneous_LDLo,rat_subcutaneous_LDLo,rabbit_subcutaneous_LDLo,frog_subcutaneous_LDLo,mouse_intramuscular_LD50,rat_intramuscular_LD50,mouse_parenteral_LD50
TOX-145,785,"benzene-1,4-diol",Oc1ccc(O)cc1,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,99.99818365,,,169.9969121,124.9977296,,,,,114.9979111,,,,,,,99.99818365,79.99854692,,244.9955497,479.9912811,549.9900107,301.9945147,199.9963675,199.9963675,49.99909179,,,,,,,,,,,,169.9969121,149.9972755,,719.9869216,,,,,,181.9966943,,,,,,299.9945512,299.9945512,,189.996549,,,
TOX-245,5453,tris(aziridin-1-yl)-sulfanylidene-lambda5-phosphane,S=P(N1CC1)(N1CC1)N1CC1,S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,10.99976746,,,7.999830884,,,,14.49969347,,9.399801298,5.499883739,,,,,,,0.759983934,,37.99919673,,,22.99951379,,,,5.619881202,236.9949899,,,,,,,,,,,,,,,,,,,16.49965119,,,7.799835118,,,,,,,11.49975691,,
TOX-1273,727,"1,2,3,4,5,6-hexachlorocyclohexane",ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,124.9862463,,,34.99614894,,,,,,,,,,,,,4.49950487,7.49917479,,54.62798786,,126.9860263,,59.99339832,39.99559879,24.99724928,55.99383835,119.9867965,,596.9343122,1499.834956,,,,,,,,,299.9669914,124.9862463,,,536.2491406,49.99449849,,,,,,74.9917479,,,,,,,,
TOX-1279,4091,"3-(diaminomethylidene)-1,1-dimethylguanidine",CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,294.7977709,,199.9891614,499.9729028,,,,179.9902451,,,,,,,,,,,,1449.921418,,499.9729028,999.9458063,349.9810319,,,,,,,,,,,,,,,,,,,,,,,228.3087348,,147.3133549,299.9837421,149.9918709,,,,,,,,
TOX-1281,8784,3-phenylprop-2-enoic acid,O=C(O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,WBYWAXJHAXSJNI-UHFFFAOYSA-N,,,,1599.989201,,,,379.9974352,,,,,,,,,,,,4999.966256,,,2499.983126,,,,99.99932496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1282,10364,2-methyl-5-propan-2-ylphenol,Cc1ccc(C(C)C)cc1O,Cc1ccc(C(C)C)cc1O,RECUKUPTGUEGMW-UHFFFAOYSA-N,73.29951206,,,,,,,79.9994674,,,,,,,,,,309.9979363,,,,,809.9946076,,,,,,,,,,99.99933424,,99.99933424,,,,,,,,,,,2699.982024,679.9954733,,,,,,,,999.9933424,74.99950079,,,
TOX-1283,7478,4-methoxybenzoic acid,COc1ccc(C(=O)O)cc1,COc1ccc(C(=O)O)cc1,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.002629,,,,,,,,,,,,
TOX-1284,4458,"3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCCC(C)=CCO,CC(C)=CCCC(C)=CCO,GLZPCOQZEFWAFX-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,49.99902756,,,,,,4024.84408,,,,,,,,,,,,,,,,,,,,,,4999.902756,,1089.978802,,,,,,,,,,3464.034245,,
TOX-1285,8175,decanal,CCCCCCCCCC=O,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,41747.59551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1287,15173,3-(2-methoxyphenyl)prop-2-enal,COc1ccccc1C=CC=O,COc1ccccc1C=CC=O,KKVZAVRSVHUSPL-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,1999.901348,,,4999.753373,,,,,,,,,,,,,,,,,,,,,,4999.753373,,,,,,,,,,,,,,
