label,number
Pimephales promelas_4.0d_LC50,926
Oncorhynchus mykiss_4.0d_LC50,743
Lepomis macrochirus_4.0d_LC50,691
Daphnia magna_2.0d_LC50,490
Americamysis bahia_4.0d_LC50,342
Lepomis macrochirus_1.0d_LC50,318
Oncorhynchus mykiss_1.0d_LC50,308
Daphnia magna_1.0d_LC50,303
Pimephales promelas_1.0d_LC50,288
Oncorhynchus mykiss_2.0d_LC50,270
Pimephales promelas_2.0d_LC50,264
Cyprinodon variegatus_4.0d_LC50,256
Oryzias latipes_2.0d_LC50,226
Ictalurus punctatus_4.0d_LC50,224
Lepomis macrochirus_2.0d_LC50,180
Danio rerio_4.0d_LC50,179
Poecilia reticulata_4.0d_LC50,167
Ictalurus punctatus_1.0d_LC50,159
Leuciscus idus_2.0d_LC50,155
Aedes aegypti_1.0d_LC50,153
Oryzias latipes_1.0d_LC50,150
Artemia salina_1.0d_LC50,142
Culex pipiens_1.0d_LC50,133
Xenopus laevis_4.0d_LC50,133
Pimephales promelas_3.0d_LC50,130
Carassius auratus_4.0d_LC50,130
Poecilia reticulata_2.0d_LC50,130
Cyprinus carpio_4.0d_LC50,128
Cyprinus carpio_2.0d_LC50,127
Poecilia reticulata_1.0d_LC50,124
Carassius auratus_1.0d_LC50,123
Gammarus fasciatus_4.0d_LC50,108
Carassius auratus_2.0d_LC50,98
Gambusia affinis_2.0d_LC50,98
Palaemonetes pugio_4.0d_LC50,96
Oncorhynchus mykiss_3.0d_LC50,95
Rasbora heteromorpha_1.0d_LC50,92
Physella acuta_2.0d_LC50,92
Cipangopaludina malleata_2.0d_LC50,91
Indoplanorbis exustus_2.0d_LC50,90
Semisulcospira libertina_2.0d_LC50,89
Danio rerio_2.0d_LC50,89
Gammarus fasciatus_1.0d_LC50,89
Rasbora heteromorpha_2.0d_LC50,88
Gambusia affinis_4.0d_LC50,86
Culex quinquefasciatus_1.0d_LC50,82
Brachionus calyciflorus_1.0d_LC50,82
Daphnia magna_4.0d_LC50,80
